"run"	"count_type"	"cutoff_type"	"cutoff"
1	"raw"	"sum"	1
2	"raw"	"sum"	2
3	"raw"	"sum"	5
4	"raw"	"sum"	10
5	"raw"	"sum"	20
6	"raw"	"sum"	50
7	"raw"	"sum"	100
8	"raw"	"sum"	200
9	"raw"	"sum"	500
10	"raw"	"max"	1
11	"raw"	"max"	2
12	"raw"	"max"	5
13	"raw"	"max"	10
14	"raw"	"max"	20
15	"raw"	"max"	50
16	"raw"	"max"	100
17	"raw"	"max"	200
18	"raw"	"max"	500
19	"tot_proportional"	"sum"	1E-6
20	"tot_proportional"	"sum"	2E-6
21	"tot_proportional"	"sum"	5E-6
22	"tot_proportional"	"sum"	10E-6
23	"tot_proportional"	"sum"	20E-6
24	"tot_proportional"	"sum"	50E-6
25	"tot_proportional"	"sum"	100E-6
26	"tot_proportional"	"sum"	200E-6
27	"tot_proportional"	"sum"	500E-6
28	"tot_proportional"	"max"	1E-6
29	"tot_proportional"	"max"	2E-6
30	"tot_proportional"	"max"	5E-6
31	"tot_proportional"	"max"	10E-6
32	"tot_proportional"	"max"	20E-6
33	"tot_proportional"	"max"	50E-6
34	"tot_proportional"	"max"	100E-6
35	"tot_proportional"	"max"	200E-6
36	"tot_proportional"	"max"	500E-6
37	"sample_proportional"	"sum"	1E-6
38	"sample_proportional"	"sum"	2E-6
39	"sample_proportional"	"sum"	5E-6
40	"sample_proportional"	"sum"	10E-6
41	"sample_proportional"	"sum"	20E-6
42	"sample_proportional"	"sum"	50E-6
43	"sample_proportional"	"sum"	100E-6
44	"sample_proportional"	"sum"	200E-6
45	"sample_proportional"	"sum"	500E-6
46	"sample_proportional"	"max"	1E-6
47	"sample_proportional"	"max"	2E-6
48	"sample_proportional"	"max"	5E-6
49	"sample_proportional"	"max"	10E-6
50	"sample_proportional"	"max"	20E-6
51	"sample_proportional"	"max"	50E-6
52	"sample_proportional"	"max"	100E-6
53	"sample_proportional"	"max"	200E-6
54	"sample_proportional"	"max"	500E-6
55	"calibrated"	"sum"	1
56	"calibrated"	"sum"	2
57	"calibrated"	"sum"	5
58	"calibrated"	"sum"	10
59	"calibrated"	"sum"	20
60	"calibrated"	"sum"	50
61	"calibrated"	"sum"	100
62	"calibrated"	"sum"	200
63	"calibrated"	"sum"	500
64	"calibrated"	"max"	1
65	"calibrated"	"max"	2
66	"calibrated"	"max"	5
67	"calibrated"	"max"	10
68	"calibrated"	"max"	20
69	"calibrated"	"max"	50
70	"calibrated"	"max"	100
71	"calibrated"	"max"	200
72	"calibrated"	"max"	500
