"run"	"require_overlap"	"dist_type"	"dist_threshold"
1	FALSE	"dadn"	1
2	FALSE	"dadn"	1.2
3	FALSE	"dadn"	1.5
4	FALSE	"dadn"	1.8
5	FALSE	"dadn"	2.1
6	FALSE	"dadn"	2.4
7	FALSE	"wdadn"	0.8
8	FALSE	"wdadn"	0.9
9	FALSE	"wdadn"	1
10	FALSE	"wdadn"	1.1
11	FALSE	"wdadn"	1.2
12	FALSE	"wdadn"	1.3
13	TRUE	"dadn"	0.4
14	TRUE	"dadn"	0.6
15	TRUE	"dadn"	0.8
16	TRUE	"dadn"	1
17	TRUE	"dadn"	1.2
18	TRUE	"dadn"	1.5
19	TRUE	"wdadn"	0.1
20	TRUE	"wdadn"	0.3
21	TRUE	"wdadn"	0.5
22	TRUE	"wdadn"	0.7
23	TRUE	"wdadn"	0.9
24	TRUE	"wdadn"	1.1
25	FALSE	"dadn"	2.7
26	FALSE	"dadn"	3.0
27	FALSE	"dadn"	3.5
28	FALSE	"wdadn"	1.5
29	FALSE	"wdadn"	1.7
30	FALSE	"wdadn"	2.0
31	FALSE	"wdadn"	2.5
32	FALSE	"wdadn"	3.0
33	FALSE	"wdadn"	3.5
34	FALSE	"wdadn"	4.0
35	FALSE	"dadn"	4.0
36	FALSE	"dadn"	4.5
37	FALSE	"dadn"	5.0
38	FALSE	"dadn"	6.0
39	TRUE	"dadn"	1.8
40	TRUE	"dadn"	2.1
41	TRUE	"dadn"	2.4
42	TRUE	"dadn"	2.7
43	TRUE	"wdadn"	1.2
44	TRUE	"wdadn"	1.3
45	TRUE	"wdadn"	1.5
46	TRUE	"wdadn"	1.7
